chr2	10001	242183529
chr3	10001	198235559
chr4	10001	190204555
chr5	10001	181478259
chr6	60001	170745979
chr7	10001	159335973
chrX	10001	156030895
chr8	60001	145078636
chr11	60001	135076622
chr10	10001	133787422
chr12	10001	133265309
chr1	10001	125184587
chr1	143184588	248946422
chr13	16000001	114354328
chr14	16000001	106883718
chr15	17000001	101981189
chr17	60001	83247441
chr18	10001	80263285
chr9	60518559	138334717
chr20	60001	64334167
chr19	60001	58607616
chr9	10001	45518558
chr16	46380683	90228345
chr21	5010001	46699983
chr22	10510001	50808468
chr16	10001	38280682
